,City,Population,Users
0,NEW YORK NY," 8,405,837 "," 302,149 "
1,CHICAGO IL," 1,955,130 "," 164,468 "
2,LOS ANGELES CA," 1,595,037 "," 144,132 "
3,MIAMI FL," 1,339,155 "," 17,675 "
4,SILICON VALLEY," 1,177,609 "," 27,247 "
5,ORANGE COUNTY," 1,030,185 "," 12,994 "
6,SAN DIEGO CA," 959,307 "," 69,995 "
7,PHOENIX AZ," 943,999 "," 6,133 "
8,DALLAS TX," 942,908 "," 22,157 "
9,ATLANTA GA," 814,885 "," 24,701 "
10,DENVER CO," 754,233 "," 12,421 "
11,AUSTIN TX," 698,371 "," 14,978 "
12,SEATTLE WA," 671,238 "," 25,063 "
13,TUCSON AZ," 631,442 "," 5,712 "
14,SAN FRANCISCO CA," 629,591 "," 213,609 "
15,SACRAMENTO CA," 545,776 "," 7,044 "
16,PITTSBURGH PA," 542,085 "," 3,643 "
17,WASHINGTON DC," 418,859 "," 127,001 "
18,NASHVILLE TN," 327,225 "," 9,270 "
19,BOSTON MA," 248,968 "," 80,021 "
